identifiantCandidat,genre,nationalite,serie,mentionAuBac,redoublementTerminale,rangEnTerminale,age,annee
20173681,M,IVOIRIENNE,F2,PASSABLE,NON,9,24.0,2017
20173696,M,IVOIRIENNE,F7,PASSABLE,NON,2,21.0,2017
20173697,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,1,26.0,2017
20173707,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,8,21.0,2017
20173735,M,IVOIRIENNE,D,BIEN,NON,2,22.0,2017
20173748,M,IVOIRIENNE,C,BIEN,NON,2,20.0,2017
20173750,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20173765,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
20173779,M,IVOIRIENNE,D,BIEN,NON,6,20.0,2017
20173787,M,IVOIRIENNE,F1,PASSABLE,NON,11,23.0,2017
20173806,F,IVOIRIENNE,D,TRES BIEN,NON,1,21.0,2017
20173823,M,IVOIRIENNE,C,BIEN,NON,7,21.0,2017
20173824,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20173838,M,IVOIRIENNE,C,PASSABLE,NON,7,22.0,2017
20173850,F,IVOIRIENNE,C,BIEN,NON,1,20.0,2017
20173855,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,9,20.0,2017
20173857,M,MALIENNE,C,ASSEZ-BIEN,NON,4,21.0,2017
20173881,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,21.0,2017
20173885,M,IVOIRIENNE,C,BIEN,NON,7,22.0,2017
20173886,F,IVOIRIENNE,C,BIEN,NON,6,21.0,2017
20173898,M,IVOIRIENNE,F1,PASSABLE,OUI,9,24.0,2017
20173903,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,28,22.0,2017
20173904,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,1,22.0,2017
20173927,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,19.0,2017
20173990,M,IVOIRIENNE,B,ASSEZ-BIEN,NON,2,23.0,2017
20173998,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,24.0,2017
20174007,M,IVOIRIENNE,D,BIEN,NON,7,20.0,2017
20174008,F,IVOIRIENNE,D,BIEN,NON,5,22.0,2017
20174010,F,IVOIRIENNE,C,BIEN,NON,2,21.0,2017
20174013,M,IVOIRIENNE,D,BIEN,NON,1,23.0,2017
20174047,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,5,21.0,2017
20174055,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,26,21.0,2017
20174060,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
20174085,M,IVOIRIENNE,E,PASSABLE,OUI,11,21.0,2017
20174086,F,IVOIRIENNE,C,TRES BIEN,NON,2,21.0,2017
20174089,M,IVOIRIENNE,BT COMPTABILITE,PASSABLE,NON,2,26.0,2017
20174114,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,13,23.0,2017
20174122,M,IVOIRIENNE,D,BIEN,NON,2,20.0,2017
20174129,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,22.0,2017
20174145,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,23.0,2017
20174147,F,IVOIRIENNE,C,PASSABLE,NON,3,20.0,2017
20174156,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,23.0,2017
20174163,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20174178,M,IVOIRIENNE,C,PASSABLE,OUI,2,22.0,2017
20174182,F,IVOIRIENNE,F7,PASSABLE,NON,10,21.0,2017
20174197,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,8,21.0,2017
20174217,M,IVOIRIENNE,C,BIEN,NON,1,22.0,2017
20174224,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20174246,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,19,20.0,2017
20174249,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,15,23.0,2017
20174250,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,20.0,2017
20174280,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,3,23.0,2017
20174285,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,22.0,2017
20174296,M,IVOIRIENNE,F7,ASSEZ-BIEN,NON,1,22.0,2017
20174323,M,IVOIRIENNE,F2,ASSEZ-BIEN,OUI,11,27.0,2017
20174331,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,21.0,2017
20174356,M,IVOIRIENNE,D,BIEN,NON,2,21.0,2017
20174361,M,IVOIRIENNE,F1,PASSABLE,NON,5,22.0,2017
20174385,M,IVOIRIENNE,F4,BIEN,NON,1,19.0,2017
20174487,M,IVOIRIENNE,G2,PASSABLE,NON,1,25.0,2017
20174490,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20174507,M,IVOIRIENNE,F3,ASSEZ-BIEN,NON,9,24.0,2017
20174543,M,IVOIRIENNE,F2,PASSABLE,NON,9,22.0,2017
20174562,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2017
20174566,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,2,20.0,2017
20174597,F,IVOIRIENNE,F1,PASSABLE,OUI,17,24.0,2017
20174602,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,21.0,2017
20174648,M,IVOIRIENNE,C,BIEN,NON,1,22.0,2017
20174685,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,19.0,2017
20174692,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,4,21.0,2017
20174722,M,IVOIRIENNE,F1,PASSABLE,NON,18,21.0,2017
20174725,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,1,24.0,2017
20174786,M,IVOIRIENNE,A1,BIEN,NON,1,21.0,2017
20174789,F,IVOIRIENNE,F7,PASSABLE,NON,4,23.0,2017
20174797,M,IVOIRIENNE,F2,PASSABLE,NON,21,22.0,2017
20174827,M,IVOIRIENNE,C,BIEN,NON,2,21.0,2017
20174842,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2017
20174847,M,IVOIRIENNE,C,PASSABLE,NON,8,20.0,2017
20174851,M,IVOIRIENNE,C,PASSABLE,OUI,3,21.0,2017
20174866,F,IVOIRIENNE,C,PASSABLE,NON,22,20.0,2017
20174884,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20174891,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,24.0,2017
20174906,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,22.0,2017
20174909,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
20174910,M,IVOIRIENNE,C,BIEN,NON,3,20.0,2017
20174923,M,IVOIRIENNE,D,BIEN,NON,1,22.0,2017
20174958,M,IVOIRIENNE,A1,ASSEZ-BIEN,NON,2,20.0,2017
20174960,M,IVOIRIENNE,F7,ASSEZ-BIEN,NON,4,21.0,2017
20174965,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
20174976,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,20.0,2017
20174990,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,22.0,2017
20174991,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,21,23.0,2017
20175015,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,3,24.0,2017
20175028,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,22.0,2017
20175031,M,IVOIRIENNE,C,TRES BIEN,NON,2,19.0,2017
20175050,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
20175069,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,25.0,2017
20175079,M,IVOIRIENNE,C,BIEN,NON,22,21.0,2017
20175084,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,23.0,2017
20175093,F,IVOIRIENNE,D,BIEN,NON,10,21.0,2017
20175094,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,5,22.0,2017
20175095,F,IVOIRIENNE,G2,ASSEZ-BIEN,NON,11,21.0,2017
20175102,M,IVOIRIENNE,F1,ASSEZ-BIEN,NON,1,21.0,2017
20175112,M,IVOIRIENNE,D,BIEN,OUI,1,21.0,2017
20175132,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
20175173,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20175179,M,IVOIRIENNE,F2,PASSABLE,NON,2,21.0,2017
20175193,M,IVOIRIENNE,D,BIEN,NON,2,21.0,2017
20175200,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20175217,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,4,19.0,2017
20175243,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,12,22.0,2017
20175248,M,IVOIRIENNE,D,BIEN,NON,12,21.0,2017
20175250,M,IVOIRIENNE,D,BIEN,NON,5,22.0,2017
20175267,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,3,20.0,2017
20175277,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,22.0,2017
20175285,M,IVOIRIENNE,G2,PASSABLE,OUI,1,24.0,2017
20175300,M,IVOIRIENNE,C,PASSABLE,NON,3,21.0,2017
20175306,M,GHANEENNE,G2,ASSEZ-BIEN,NON,1,22.0,2017
20175322,M,IVOIRIENNE,F1,PASSABLE,NON,7,20.0,2017
20175349,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,1,25.0,2017
20175388,M,IVOIRIENNE,D,BIEN,NON,1,22.0,2017
20175416,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,27,23.0,2017
20175419,M,IVOIRIENNE,D,BIEN,NON,1,22.0,2017
20175430,M,IVOIRIENNE,D,BIEN,NON,3,24.0,2017
20175442,M,IVOIRIENNE,C,BIEN,NON,2,21.0,2017
20175445,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,22.0,2017
20175465,M,IVOIRIENNE,E,PASSABLE,OUI,4,23.0,2017
20175467,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,20.0,2017
20175476,M,IVOIRIENNE,C,BIEN,NON,7,21.0,2017
20175514,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
20175553,M,IVOIRIENNE,A2,BIEN,NON,13,21.0,2017
20175644,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20175662,M,IVOIRIENNE,F3,PASSABLE,NON,12,22.0,2017
20175673,M,IVOIRIENNE,BT CHANTIER GROS OEUVRE,ASSEZ-BIEN,NON,7,28.0,2017
20175688,M,IVOIRIENNE,C,BIEN,NON,11,21.0,2017
20175695,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,5,22.0,2017
20175745,M,IVOIRIENNE,A1,BIEN,NON,3,21.0,2017
20175809,F,IVOIRIENNE,B,PASSABLE,NON,2,20.0,2017
20175812,M,IVOIRIENNE,F3,PASSABLE,NON,19,21.0,2017
20175825,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
20175848,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2017
20175854,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20175855,M,IVOIRIENNE,C,PASSABLE,NON,1,21.0,2017
20175859,M,IVOIRIENNE,F4,BIEN,NON,1,21.0,2017
20175890,M,IVOIRIENNE,D,BIEN,NON,1,23.0,2017
20175949,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,22.0,2017
20175981,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,20.0,2017
20175994,M,IVOIRIENNE,B,ASSEZ-BIEN,NON,12,22.0,2017
20176008,M,IVOIRIENNE,C,BIEN,NON,12,22.0,2017
20176020,M,IVOIRIENNE,D,BIEN,NON,3,21.0,2017
20176066,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,21.0,2017
20176078,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,6,23.0,2017
20176084,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20176089,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,11,21.0,2017
20176115,M,IVOIRIENNE,B,ASSEZ-BIEN,NON,1,21.0,2017
20176116,M,IVOIRIENNE,D,BIEN,OUI,1,22.0,2017
20176163,M,IVOIRIENNE,D,BIEN,NON,2,21.0,2017
20176190,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,1,24.0,2017
20176191,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,3,25.0,2017
20176199,M,IVOIRIENNE,BT CONTROLE QUALITE,ASSEZ-BIEN,NON,1,25.0,2017
20176216,M,IVOIRIENNE,C,BIEN,NON,3,23.0,2017
20176259,F,IVOIRIENNE,A2,ASSEZ-BIEN,NON,1,21.0,2017
20176332,M,IVOIRIENNE,D,BIEN,NON,1,22.0,2017
20176333,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20176343,M,IVOIRIENNE,B,PASSABLE,NON,1,21.0,2017
20176345,M,IVOIRIENNE,D,BIEN,NON,4,21.0,2017
20176348,M,IVOIRIENNE,D,BIEN,NON,1,24.0,2017
20176358,M,IVOIRIENNE,B,ASSEZ-BIEN,NON,5,26.0,2017
20176365,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20176366,M,TOGOLAISE,D,BIEN,NON,1,21.0,2017
20176391,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,19.0,2017
20176425,M,IVOIRIENNE,F7,ASSEZ-BIEN,NON,1,21.0,2017
20176485,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,2,21.0,2017
20176524,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,1,21.0,2017
20176533,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,24.0,2017
20176545,M,IVOIRIENNE,F1,PASSABLE,NON,7,21.0,2017
20176571,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20176578,M,IVOIRIENNE,E,PASSABLE,NON,12,19.0,2017
20176593,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,17,22.0,2017
20176595,M,IVOIRIENNE,F1,PASSABLE,NON,8,23.0,2017
20176596,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,20.0,2017
20176598,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,25.0,2017
20176611,M,IVOIRIENNE,C,TRES BIEN,NON,1,22.0,2017
20176628,M,IVOIRIENNE,C,PASSABLE,NON,9,22.0,2017
20176642,M,IVOIRIENNE,A2,BIEN,NON,6,21.0,2017
20176676,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,8,20.0,2017
20176677,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20176759,F,BENINOISE,C,PASSABLE,NON,1,21.0,2017
20176776,F,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20176795,F,IVOIRIENNE,D,BIEN,NON,14,20.0,2017
20176836,M,IVOIRIENNE,C,BIEN,NON,6,21.0,2017
20176855,F,IVOIRIENNE,D,BIEN,NON,3,21.0,2017
20176856,M,IVOIRIENNE,F7,PASSABLE,NON,13,21.0,2017
20176878,M,IVOIRIENNE,D,BIEN,NON,2,23.0,2017
20176905,M,IVOIRIENNE,D,BIEN,NON,1,20.0,2017
20176926,M,IVOIRIENNE,F1,PASSABLE,OUI,14,23.0,2017
20176933,M,NIGERIANNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20176941,F,IVOIRIENNE,G2,ASSEZ-BIEN,OUI,1,24.0,2017
20177010,M,IVOIRIENNE,D,BIEN,NON,7,21.0,2017
20177018,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,5,20.0,2017
20177028,M,BURKINABE,C,BIEN,NON,7,22.0,2017
20177032,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2017
20177140,M,IVOIRIENNE,B,ASSEZ-BIEN,OUI,1,25.0,2017
20177165,M,IVOIRIENNE,C,PASSABLE,NON,3,22.0,2017
20177183,F,IVOIRIENNE,G2,ASSEZ-BIEN,OUI,6,24.0,2017
20177230,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,22.0,2017
20177317,M,IVOIRIENNE,S,BIEN,NON,1,21.0,2017
20177329,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,21.0,2017
20177335,F,IVOIRIENNE,G2,PASSABLE,OUI,2,26.0,2017
20177371,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20177375,F,IVOIRIENNE,D,BIEN,NON,1,22.0,2017
20177449,M,IVOIRIENNE,G2,ASSEZ-BIEN,OUI,1,22.0,2017
20177504,F,IVOIRIENNE,D,TRES BIEN,NON,2,21.0,2017
20177506,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,20.0,2017
20177538,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,24.0,2017
20177588,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,21.0,2017
20177595,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
20177695,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,5,21.0,2017
20177816,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,2,23.0,2017
20177883,M,IVOIRIENNE,C,PASSABLE,NON,1,20.0,2017
20177930,M,IVOIRIENNE,A2,ASSEZ-BIEN,NON,1,21.0,2017
20177938,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,22.0,2017
20177946,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20178011,F,IVOIRIENNE,A2,BIEN,NON,21,20.0,2017
20178049,M,IVOIRIENNE,D,BIEN,NON,9,21.0,2017
20178097,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,8,21.0,2017
20178128,F,IVOIRIENNE,D,BIEN,NON,4,21.0,2017
20178179,M,IVOIRIENNE,F7,PASSABLE,NON,14,21.0,2017
20178219,M,BENINOISE,D,ASSEZ-BIEN,NON,1,21.0,2017
20178230,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,21.0,2017
20178235,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,5,22.0,2017
20178255,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,20.0,2017
20178292,M,IVOIRIENNE,C,PASSABLE,NON,1,22.0,2017
20178305,M,IVOIRIENNE,F2,PASSABLE,NON,5,22.0,2017
20178365,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,7,21.0,2017
20178385,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,4,22.0,2017
20178417,F,IVOIRIENNE,D,BIEN,NON,8,20.0,2017
20178641,F,CAMEROUNAISE,D,BIEN,NON,1,21.0,2017
20178673,M,IVOIRIENNE,E,PASSABLE,OUI,7,24.0,2017
20178724,M,IVOIRIENNE,STMG,ASSEZ-BIEN,NON,6,21.0,2017
20178735,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,1,23.0,2017
20178779,M,TOGOLAISE,D,ASSEZ-BIEN,OUI,1,19.0,2017
20178913,M,IVOIRIENNE,G2,PASSABLE,NON,2,22.0,2017
201812,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2018
201813,M,IVOIRIENNE,C,BIEN,NON,2,19.0,2018
201814,F,IVOIRIENNE,C,BIEN,NON,5,19.0,2018
201821,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,20.0,2018
201842,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,21.0,2018
201843,M,IVOIRIENNE,D,BIEN,NON,1,22.0,2018
201846,M,IVOIRIENNE,C,ASSEZ-BIEN,OUI,1,22.0,2018
201848,M,IVOIRIENNE,D,BIEN,NON,3,19.0,2018
201850,M,IVOIRIENNE,BT TOPOGRAPHIE,ASSEZ-BIEN,NON,6,22.0,2018
201856,M,IVOIRIENNE,C,PASSABLE,NON,9,20.0,2018
201867,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,11,19.0,2018
201869,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,6,20.0,2018
201873,M,IVOIRIENNE,C,BIEN,NON,1,20.0,2018
201880,F,IVOIRIENNE,D,BIEN,NON,5,20.0,2018
201886,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,19.0,2018
201894,M,IVOIRIENNE,C,BIEN,NON,1,20.0,2018
2018106,M,IVOIRIENNE,C,BIEN,NON,6,21.0,2018
2018111,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,1,23.0,2018
2018117,M,IVOIRIENNE,C,BIEN,NON,3,19.0,2018
2018119,M,IVOIRIENNE,C,BIEN,NON,1,20.0,2018
2018138,M,IVOIRIENNE,F1,PASSABLE,NON,1,22.0,2018
2018142,M,IVOIRIENNE,C,BIEN,NON,5,21.0,2018
2018156,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,16,20.0,2018
2018157,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,20.0,2018
2018160,M,IVOIRIENNE,F1,PASSABLE,NON,3,21.0,2018
2018161,M,IVOIRIENNE,E,ASSEZ-BIEN,NON,2,20.0,2018
2018177,F,IVOIRIENNE,C,BIEN,NON,1,20.0,2018
2018180,M,IVOIRIENNE,C,BIEN,NON,3,24.0,2018
2018189,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,20.0,2018
2018191,M,IVOIRIENNE,E,ASSEZ-BIEN,NON,1,20.0,2018
2018195,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,13,20.0,2018
2018205,M,IVOIRIENNE,B,PASSABLE,NON,2,20.0,2018
2018207,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,5,20.0,2018
2018221,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2018
2018231,F,IVOIRIENNE,E,PASSABLE,NON,11,19.0,2018
2018236,F,IVOIRIENNE,C,BIEN,NON,5,20.0,2018
2018239,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,11,21.0,2018
2018243,M,IVOIRIENNE,C,BIEN,NON,1,19.0,2018
2018245,F,IVOIRIENNE,F1,ASSEZ-BIEN,NON,1,19.0,2018
2018248,M,IVOIRIENNE,F4,PASSABLE,NON,6,22.0,2018
2018259,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,7,19.0,2018
2018264,M,IVOIRIENNE,F3,ASSEZ-BIEN,NON,1,22.0,2018
2018266,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,1,22.0,2018
2018267,M,IVOIRIENNE,F1,ASSEZ-BIEN,NON,2,20.0,2018
2018274,F,IVOIRIENNE,D,BIEN,NON,4,19.0,2018
2018281,M,IVOIRIENNE,C,BIEN,NON,1,20.0,2018
2018289,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,19.0,2018
2018291,F,IVOIRIENNE,A1,TRES BIEN,NON,3,20.0,2018
2018296,M,IVOIRIENNE,C,BIEN,NON,1,19.0,2018
2018313,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,2,20.0,2018
2018317,M,IVOIRIENNE,E,ASSEZ-BIEN,NON,1,21.0,2018
2018319,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,20.0,2018
2018322,M,IVOIRIENNE,C,BIEN,NON,4,20.0,2018
2018327,M,IVOIRIENNE,F2,PASSABLE,NON,1,22.0,2018
2018328,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,20.0,2018
2018330,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,11,20.0,2018
2018333,M,IVOIRIENNE,B,ASSEZ-BIEN,NON,1,21.0,2018
2018338,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2018
2018341,F,IVOIRIENNE,C,BIEN,NON,6,20.0,2018
2018346,M,IVOIRIENNE,D,BIEN,NON,3,20.0,2018
2018347,M,IVOIRIENNE,D,BIEN,OUI,2,22.0,2018
2018348,M,IVOIRIENNE,C,BIEN,NON,1,19.0,2018
2018349,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,6,20.0,2018
2018353,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,15,19.0,2018
2018358,F,IVOIRIENNE,F3,PASSABLE,NON,3,21.0,2018
2018360,M,IVOIRIENNE,F1,PASSABLE,NON,2,20.0,2018
2018364,M,IVOIRIENNE,C,BIEN,NON,20,21.0,2018
2018370,M,IVOIRIENNE,C,BIEN,NON,1,20.0,2018
2018374,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,5,20.0,2018
2018375,M,IVOIRIENNE,C,BIEN,NON,1,19.0,2018
2018380,F,IVOIRIENNE,F7,ASSEZ-BIEN,NON,1,22.0,2018
2018385,F,IVOIRIENNE,D,BIEN,NON,6,20.0,2018
2018389,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2018
2018391,M,IVOIRIENNE,E,PASSABLE,NON,12,23.0,2018
2018394,F,IVOIRIENNE,F3,PASSABLE,NON,6,21.0,2018
2018395,M,IVOIRIENNE,F1,PASSABLE,NON,3,22.0,2018
2018396,M,IVOIRIENNE,A1,BIEN,NON,1,20.0,2018
2018397,M,IVOIRIENNE,F7,ASSEZ-BIEN,NON,2,19.0,2018
2018400,M,IVOIRIENNE,F3,ASSEZ-BIEN,NON,2,19.0,2018
2018405,M,IVOIRIENNE,D,BIEN,NON,1,20.0,2018
2018406,F,IVOIRIENNE,D,BIEN,NON,1,20.0,2018
2018409,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,6,20.0,2018
2018412,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,14,22.0,2018
2018413,M,IVOIRIENNE,A2,ASSEZ-BIEN,NON,2,20.0,2018
2018423,M,IVOIRIENNE,C,BIEN,NON,1,21.0,2018
2018429,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,15,19.0,2018
2018435,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,13,20.0,2018
2018438,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,20.0,2018
2018441,M,IVOIRIENNE,E,PASSABLE,NON,13,20.0,2018
2018446,F,IVOIRIENNE,C,BIEN,NON,1,19.0,2018
2018447,M,IVOIRIENNE,C,ASSEZ-BIEN,OUI,1,24.0,2018
2018451,M,IVOIRIENNE,D,BIEN,NON,1,20.0,2018
2018458,F,IVOIRIENNE,G2,ASSEZ-BIEN,NON,5,19.0,2018
2018465,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,1,21.0,2018
2018472,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,6,19.0,2018
2018477,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,8,25.0,2018
2018482,M,IVOIRIENNE,C,BIEN,NON,9,21.0,2018
2018494,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,4,23.0,2018
2018499,M,IVOIRIENNE,C,BIEN,NON,1,19.0,2018
2018517,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,4,21.0,2018
2018531,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,10,21.0,2018
2018533,M,IVOIRIENNE,C,PASSABLE,OUI,7,24.0,2018
2018542,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,20.0,2018
2018545,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,23,19.0,2018
2018548,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2018
2018550,M,IVOIRIENNE,A1,BIEN,OUI,1,24.0,2018
2018555,M,IVOIRIENNE,B,ASSEZ-BIEN,NON,1,20.0,2018
2018557,M,IVOIRIENNE,F1,PASSABLE,NON,10,22.0,2018
2018562,F,IVOIRIENNE,F3,PASSABLE,NON,3,20.0,2018
2018565,F,IVOIRIENNE,D,BIEN,NON,2,20.0,2018
2018579,M,IVOIRIENNE,D,BIEN,NON,3,20.0,2018
